"rollno","name","age","grade","department"
"R00002","Student2",20,"A","IT"
"R00003","Student3",27,"A","Civil"
"R00004","Student4",19,"C","IT"
"R00005","Student5",23,"A","Civil"
"R00006","Student6",28,"D","ECE"
"R00007","Student7",22,"F","ECE"
"R00008","Student8",21,"B","CS"
"R00009","Student9",23,"D","Civil"
"R00010","Student10",26,"D","IT"
"R00011","Student11",27,"F","Mech"
"R00012","Student12",28,"C","IT"
"R00013","Student13",22,"F","Civil"
"R00014","Student14",20,"D","Mech"
"R00015","Student15",28,"A","Mech"
"R00016","Student16",26,"F","ECE"
"R00017","Student17",29,"F","IT"
"R00018","Student18",26,"A","CS"
"R00019","Student19",26,"B","CS"
"R00020","Student20",30,"F","Mech"
"R00021","Student21",20,"D","Mech"
"R00022","Student22",25,"C","Mech"
"R00023","Student23",27,"D","Mech"
"R00024","Student24",24,"F","ECE"
"R00025","Student25",27,"A","Mech"
"R00026","Student26",26,"B","Mech"
"R00027","Student27",20,"F","IT"
"R00028","Student28",21,"C","CS"
"R00029","Student29",18,"A","Civil"
"R00030","Student30",28,"D","Civil"
"R00031","Student31",24,"F","Mech"
"R00032","Student32",22,"A","IT"
"R00033","Student33",29,"C","ECE"
"R00034","Student34",27,"C","Civil"
"R00035","Student35",30,"A","IT"
"R00036","Student36",24,"B","IT"
"R00037","Student37",26,"D","IT"
"R00038","Student38",26,"D","Mech"
"R00039","Student39",27,"F","Civil"
"R00040","Student40",24,"B","IT"
"R00041","Student41",28,"D","Mech"
"R00042","Student42",29,"A","ECE"
"R00043","Student43",22,"D","ECE"
"R00044","Student44",24,"F","ECE"
"R00045","Student45",22,"B","IT"
"R00046","Student46",28,"A","Mech"
"R00047","Student47",23,"F","ECE"
"R00048","Student48",26,"C","CS"
"R00049","Student49",19,"D","IT"
"R00050","Student50",30,"B","IT"
"R00051","Student51",22,"A","IT"
"R00052","Student52",25,"B","CS"
"R00053","Student53",29,"F","Mech"
"R00054","Student54",30,"F","Civil"
"R00055","Student55",19,"B","CS"
"R00056","Student56",18,"D","IT"
"R00057","Student57",26,"F","Mech"
"R00058","Student58",28,"D","Mech"
"R00059","Student59",26,"B","ECE"
"R00060","Student60",23,"D","ECE"
"R00061","Student61",22,"B","Mech"
"R00062","Student62",26,"D","IT"
"R00063","Student63",27,"D","IT"
"R00064","Student64",29,"A","CS"
"R00065","Student65",21,"D","CS"
"R00066","Student66",23,"A","CS"
"R00067","Student67",28,"C","Mech"
"R00068","Student68",25,"D","IT"
"R00069","Student69",23,"B","Civil"
"R00070","Student70",23,"B","IT"
"R00071","Student71",24,"B","Civil"
"R00072","Student72",18,"C","Mech"
"R00073","Student73",23,"B","Mech"
"R00074","Student74",19,"C","Mech"
"R00075","Student75",18,"D","CS"
"R00076","Student76",19,"C","Mech"
"R00077","Student77",21,"F","IT"
"R00078","Student78",30,"F","Mech"
"R00079","Student79",22,"C","ECE"
"R00080","Student80",23,"B","ECE"
"R00081","Student81",20,"F","CS"
"R00082","Student82",26,"D","ECE"
"R00083","Student83",21,"D","Civil"
"R00084","Student84",23,"D","Mech"
"R00085","Student85",26,"B","Civil"
